test,h,dt,cfl,domain_xmin,domain_xmax,domain_ymax,distance_to_finest,boundary_residual,road_tangential_scheme
grid,0.03,0.0010799136069114472,0.72,-3.2699999999999996,8.76,3.63,0.07599970492000471,1.4988010832439613e-13,centered
grid,0.023237900077244505,0.0006479481641468683,0.72,-3.270156713363299,8.767075526649354,3.6018745119728983,0.047338982944960306,3.1506611555820463e-13,centered
grid,0.018,0.00038870173620108835,0.72,-3.2639999999999993,8.76,3.618,0.025165182116578717,4.759560801037566e-13,centered
grid,0.012,0.00017279115309296164,0.72,-3.258,8.754,3.6,0.0,7.864084817371664e-13,centered
time,0.035777087639996645,0.0011511895625479663,0.72,-3.257033815679624,8.764067631359248,3.6134858516396613,2.092545863948968e-06,1.2187971985822e-13,centered
time,0.035777087639996645,0.0005758157389635317,0.36,-3.257033815679624,8.764067631359248,3.6134858516396613,0.0,1.1043943537458745e-13,centered
domain,0.0232379000772445,0.0006479481641468683,0.72,-4.269386416684812,10.76553493329238,4.508152614985433,0.00019848551199586062,1.9445903221004812e-13,centered
