a,C_right,C_left,C_vertical_radial,field_right,field_left,field_vertical_radial,road_gain_right,road_gain_left
0.2,3.5160061840210304,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,1.0160061840210304,3.552713678800501e-15
0.2966666666666667,3.599237407276611,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,1.0992374072766111,3.552713678800501e-15
0.3933333333333333,3.678589742446327,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,1.1785897424463272,3.552713678800501e-15
0.49,3.754575139119048,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,1.2545751391190478,3.552713678800501e-15
0.5866666666666667,3.8276015345305225,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,1.3276015345305225,3.552713678800501e-15
0.6833333333333333,3.8980000246667927,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,1.3980000246667927,3.552713678800501e-15
0.78,3.966043664744042,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,1.466043664744042,3.552713678800501e-15
0.8766666666666667,4.03196078817048,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,1.5319607881704798,3.552713678800501e-15
0.9733333333333334,4.095944654867296,1.5000000000000036,1.9364916731037063,2.5,1.5,1.9364916731037085,1.5959446548672958,3.552713678800501e-15
1.07,4.158160584339171,1.502288451842933,1.9364916731037063,2.5,1.5,1.9364916731037085,1.6581605843391714,0.002288451842932915
1.1666666666666667,4.218751326977852,1.5118718756715772,1.9364916731037063,2.5,1.5,1.9364916731037085,1.718751326977852,0.011871875671577214
1.2633333333333332,4.277841176072812,1.527276585892654,1.9364916731037063,2.5,1.5,1.9364916731037085,1.777841176072812,0.027276585892654026
1.3599999999999999,4.335539162853436,1.5471561292295029,1.9364916731037063,2.5,1.5,1.9364916731037085,1.8355391628534363,0.04715612922950285
1.4566666666666666,4.391941572481002,1.5705083957969173,1.9364916731037063,2.5,1.5,1.9364916731037085,1.8919415724810023,0.07050839579691726
1.5533333333333332,4.447133949414152,1.5965760913557325,1.9364916731037063,2.5,1.5,1.9364916731037085,1.9471339494141517,0.09657609135573253
1.65,4.501192713408855,1.6247789446817116,1.9364916731037063,2.5,1.5,1.9364916731037085,2.001192713408855,0.12477894468171158
1.7466666666666666,4.554186474818593,1.6546667630429859,1.9364916731037063,2.5,1.5,1.9364916731037085,2.054186474818593,0.15466676304298588
