theta_rad,r_HJ,r_u_0p1,r_u_0p5,r_u_0p9
0.0,7.032673687240738,6.907796861506507,5.594664378064164,4.116306280473417
0.01308996938995747,6.8741767635683075,6.781207521567188,5.521431944724395,4.079299904683882
0.02617993877991494,6.723423931365723,6.656004419485597,5.441868754908682,4.035158581386727
0.039269908169872414,6.579910293163273,6.5330530042029755,5.3588211570152575,3.9857107732363666
0.05235987755982988,6.44317293141453,6.413278906838044,5.274110250771332,3.932537625208032
0.06544984694978735,6.3127867767518,6.296633866745207,5.189083825176924,3.8769979575332547
0.07853981633974483,6.188360940860598,6.183353262662158,5.104703227704122,3.8200966449960028
0.09162978572970229,6.069535455901324,6.073716544805772,5.021475770664697,3.762662239900865
0.10471975511965977,5.955978370321834,5.967736135178009,4.9398251010411585,3.705337982007822
0.11780972450961724,5.847383157657351,5.865376342859021,4.859998354281601,3.6485958937787335
0.1308996938995747,5.743466400691791,5.766394753417808,4.782227657175359,3.592875642100956
0.14398966328953217,5.643965718303246,5.670653504609632,4.7065583555902855,3.5381317637563727
0.15707963267948966,5.548637906563574,5.578545022551555,4.6330297353026175,3.4846373690928347
0.17016960206944712,5.457257269313583,5.489331078887526,4.561706881543528,3.4327970804304657
0.18325957145940458,5.369614116581733,5.403609353842179,4.49257069766266,3.3821287555691573
0.19634954084936207,5.285513411926541,5.320687391158939,4.425609919153031,3.3333287963742193
0.20943951023931953,5.204773552129655,5.240573616980193,4.360794428006394,3.2858240539863433
0.222529479629277,5.127225264696261,5.163303086571473,4.298028959351699,3.2401565269523367
0.23561944901923448,5.05271061038108,5.088826981143131,4.23732449577063,3.1961024565457943
0.24870941840919195,4.981082079486985,5.0169165222650065,4.178648183951676,3.1535029291825913
0.2617993877991494,4.912201772015205,4.9474373427096605,4.12193549569468,3.1126067798671313
0.2748893571891069,4.845940652905046,4.880266369352884,4.067107415754743,3.0733469985203032
0.28797932657906433,4.782177874613932,4.815664896565535,4.014193358498699,3.03554818300002
0.3010692959690218,4.720800160173621,4.753163312330792,3.963068230990093,2.9991865630135828
0.3141592653589793,4.661701240633267,4.692829508212118,3.9137877546446083,2.9643054202978125
0.32724923474893675,4.604781341479953,4.634404562764853,3.866226407603802,2.930824134326085
0.34033920413889424,4.549946713223907,4.578152954585688,3.820434930287233,2.898709322096586
0.3534291735288517,4.497109201861289,4.523813722449485,3.776321927960466,2.867926036789146
0.36651914291880916,4.446185855388922,4.471154361653631,3.733874661739408,2.8384023121927915
0.37960911230876665,4.397098562954728,4.4206610470510785,3.6930944896869287,2.810079765070399
0.39269908169872414,4.349773723586775,4.371632055059107,3.6539017525520854,2.7828745179373806
0.4057890510886816,4.30414194176365,4.3246273572907,3.616278669777216,2.756775878012529
0.41887902047863906,4.260137747370944,4.279091040094161,3.5802093268699053,2.7317385187299723
0.43196898986859655,4.217699337839196,4.23547324801372,3.545652983864495,2.707607761795437
0.445058959258554,4.176768340481605,4.1934435071175375,3.5125565878508356,2.6844930489894043
0.4581489286485115,4.13728959324737,4.1528772917238825,3.4808611842131167,2.6621982613151576
0.47123889803846897,4.099210942282905,4.1142581328708685,3.450552371512465,2.6407948758595943
0.4843288674284264,4.062483054850976,4.077054551145652,3.421576509782833,2.6201397308520864
0.4974188368183839,4.027059246297167,4.0413800747158435,3.3938862848207103,2.6002875921494666
0.5105088062083414,3.99289531987964,4.007376334996181,3.367422876984796,2.5811590995385942
0.5235987755982988,3.9599494183896446,3.9748751351272262,3.342136368727292,2.5627120795872114
0.5366887449882562,3.9281818865915206,3.9437921489736265,3.31796695043881,2.5449159049727816
0.5497787143782138,3.8975551436005382,3.914150600981483,3.2948682476754034,2.5275314248344687
0.5628686837681712,3.868033564399095,3.8859979938228735,3.2727787554111205,2.510796814233595
0.5759586531581287,3.8395833697633357,3.859175221711792,3.251646891994265,2.494532422312318
0.5890486225480862,3.812172523939264,3.833663869477571,3.2314217460294774,2.4788157979927488
0.6021385919380436,3.7857706394657136,3.809362444617261,3.2120450631926505,2.4635902704600183
0.6152285613280011,3.760348888595349,3.7863055733288267,3.193470396796473,2.448695976587774
0.6283185307179586,3.735879920813037,3.7643917146479784,3.17564491131097,2.434147223869209
0.6414085001079161,3.712337785994297,3.7435594558249425,3.15851500067576,2.420071356851051
0.6544984694978735,3.689697862786705,3.7237030287508497,3.1420485568874734,2.406345530109389
0.667588438887831,3.667936791832016,3.7047755221267424,3.126170177038377,2.392792370451496
0.6806784082777885,3.6470324134797956,3.6867125121997177,3.11086063291828,2.3795636456843896
0.6937683776677459,3.6269637096729888,3.6695077562761282,3.0960724778991833,2.3666844820972552
0.7068583470577035,3.607710749712009,3.653045725387847,3.0817471975321227,2.3539736476430027
0.7199483164476609,3.589254639629015,3.6372985419661528,3.067871519481242,2.34145378204285
0.7330382858376183,3.571577474925814,3.622185640450187,3.05439069625685,2.3293086193210266
0.7461282552275759,3.5546622964493473,3.607656753963755,3.0412863773525625,2.3171201151661185
0.7592182246175333,3.538493049197168,3.593642206460884,3.028500746473708,2.3051831516563146
0.7723081940074907,3.523054543862269,3.580082563507147,3.0160217009178285,2.293413796801625
0.7853981633974483,3.5083324209420077,3.567012327940154,3.0038301064862716,2.2817515874560463
0.7984881327874057,3.494313117250332,3.5543228623785112,2.991877205120778,2.270328532019042
0.8115781021773631,3.4809838346851656,3.541959409173991,2.9801550862496686,2.2587848383994804
0.8246680715673207,3.4683325111153316,3.5298988488045757,2.9686162701971406,2.247507366112425
0.8377580409572781,3.4563477932617452,3.518138920930152,2.957262255554939,2.236239540694573
0.8508480103472356,3.4450190114582746,3.5066313733583665,2.946066597949694,2.2251137023955754
0.8639379797371931,3.434336156187012,3.4953332539832633,2.935024854008283,2.2139578758505207
0.8770279491271505,3.424289856290752,3.4842012525059864,2.924084206114625,2.2029597452619596
0.890117918517108,3.4148713587746222,3.4732048543123604,2.9132464290465934,2.191968767606162
0.9032078879070655,3.4059345582593714,3.462457076133838,2.902537401097923,2.181000435641825
0.916297857297023,3.396971919186182,3.451785785555095,2.891863829312324,2.1700928881176362
