c,C_right,C_left,C_vertical_radial,field_right,field_left,field_vertical_radial,road_gain_right,road_gain_left
-1.8,2.3884491248271544,4.038617514120872,1.3126757769805515,0.19999999999999996,3.8,0.8717797887081346,2.1884491248271543,0.23861751412087262
-1.75,2.4384491248271516,3.988617514120868,1.3392889720385988,0.25,3.75,0.9682458365518543,2.1884491248271516,0.23861751412086818
-1.7,2.4884491248271488,3.938617514120871,1.3658663675560554,0.30000000000000004,3.7,1.053565375285274,2.188449124827149,0.23861751412087084
-1.65,2.538449124827146,3.8886175141208597,1.3924079620756196,0.3500000000000001,3.65,1.1302654555457317,2.188449124827146,0.23861751412085974
-1.6,2.5884491248271573,3.8386175141208625,1.4189137553244926,0.3999999999999999,3.6,1.1999999999999997,2.1884491248271574,0.2386175141208624
-1.55,2.6384491248271544,3.7886175141208653,1.445383748215388,0.44999999999999996,3.55,1.2639224659764536,2.1884491248271543,0.23861751412086551
-1.5,2.6884491248271516,3.738617514120868,1.4718179428472986,0.5,3.5,1.3228756555322954,2.1884491248271516,0.23861751412086818
-1.45,2.7384491248271488,3.688617514120871,1.4982163425059447,0.55,3.45,1.3774977313955912,2.188449124827149,0.23861751412087084
-1.4,2.788449124827146,3.6386175141208597,1.5245789516639157,0.6000000000000001,3.4,1.42828568570857,2.188449124827146,0.23861751412085974
-1.35,2.8384491248271573,3.5886175141208625,1.5509057759804996,0.6499999999999999,3.35,1.4756354563373706,2.1884491248271574,0.2386175141208624
-1.3,2.8884491248271544,3.5386175141208653,1.5771968223012145,0.7,3.3,1.5198684153570663,2.1884491248271543,0.23861751412086551
-1.25,2.9384491248271516,3.488617514120868,1.6034520986570406,0.75,3.25,1.5612494995995996,2.1884491248271516,0.23861751412086818
-1.2,2.9884491248271488,3.438617514120871,1.6296716142633052,0.8,3.2,1.6,2.188449124827149,0.23861751412087084
-1.15,3.038449124827146,3.3886175141208597,1.6558553795183322,0.8500000000000001,3.15,1.6363068171953572,2.188449124827146,0.23861751412085974
-1.1,3.0884491248271573,3.3386175141208625,1.6820034060017157,0.8999999999999999,3.1,1.6703293088490065,2.1884491248271574,0.2386175141208624
-1.05,3.1384491248271544,3.2886175141208653,1.708115706472352,0.95,3.05,1.70220445305492,2.1884491248271543,0.23861751412086551
