a,theta_rad,speed
0.5,0.0,3.762260618881804
0.5,0.01308996938995747,3.7008283058981917
0.5,0.02617993877991494,3.6419475050336914
0.5,0.039269908169872414,3.5854817923494906
0.5,0.05235987755982988,3.5313045075735587
0.5,0.06544984694978735,3.4792979106357436
0.5,0.07853981633974483,3.42935242388058
0.5,0.09162978572970229,3.381365950038891
0.5,0.10471975511965977,3.335243257324187
0.5,0.11780972450961724,3.2908954241211106
0.5,0.1308996938995747,3.2482393366800792
0.5,0.14398966328953217,3.207197234047065
0.5,0.15707963267948966,3.1676962951624787
0.5,0.17016960206944712,3.129668263671398
0.5,0.18325957145940458,3.093049106516979
0.5,0.19634954084936207,3.0577787028471235
0.5,0.20943951023931953,3.0238005601654336
0.5,0.222529479629277,2.991061555006034
0.5,0.23561944901923448,2.959511695717417
0.5,0.24870941840919195,2.9291039052075902
0.5,0.2617993877991494,2.899793821738008
0.5,0.2748893571891069,2.871539616059529
0.5,0.28797932657906433,2.844301823366017
0.5,0.3010692959690218,2.8180431887010613
0.5,0.3141592653589793,2.7927285245955673
0.5,0.32724923474893675,2.7683245798388256
0.5,0.34033920413889424,2.7447999183975966
0.5,0.3534291735288517,2.7221248075958684
0.5,0.36651914291880916,2.7002711147563403
0.5,0.37960911230876665,2.679212211582687
0.5,0.39269908169872414,2.6589228856313483
0.5,0.4057890510886816,2.639379258284272
0.5,0.41887902047863906,2.620558708689437
0.5,0.43196898986859655,2.602439803186236
0.5,0.445058959258554,2.5850022297774515
0.5,0.4581489286485115,2.568226737249681
0.5,0.47123889803846897,2.552095078580571
0.5,0.4843288674284264,2.5365899583035443
0.5,0.4974188368183839,2.5216949835300753
0.5,0.5105088062083414,2.507394618356294
0.5,0.5235987755982988,2.4936741414044477
0.5,0.5366887449882562,2.480519606271592
0.5,0.5497787143782138,2.4679178046773345
0.5,0.5628686837681712,2.4558562321207162
0.5,0.5759586531581287,2.444323055871841
0.5,0.5890486225480862,2.4333070851392975
0.5,0.6021385919380436,2.422797743267374
0.5,0.6152285613280011,2.412785041829416
0.5,0.6283185307179586,2.4032595564949943
0.5,0.6414085001079161,2.3942124045585373
0.5,0.6544984694978735,2.3856352240265934
0.5,0.667588438887831,2.377520154169396
0.5,0.6806784082777885,2.369859817450454
0.5,0.6937683776677459,2.3626473027546595
0.5,0.7068583470577035,2.3558761498428638
0.5,0.7199483164476609,2.349540334966271
0.5,0.7330382858376183,2.343634257580071
0.5,0.7461282552275759,2.3381527281011714
0.5,0.7592182246175333,2.3328501215422435
0.5,0.7723081940074907,2.327483883776331
0.5,0.7853981633974483,2.3220553590962325
0.5,0.7984881327874057,2.316565903956892
0.5,0.8115781021773631,2.311016886154185
0.5,0.8246680715673207,2.305409684299356
0.5,0.8377580409572781,2.2997456872896365
0.5,0.8508480103472356,2.294026293774742
0.5,0.8639379797371931,2.288252911620013
0.5,0.8770279491271505,2.2824269573661766
0.5,0.890117918517108,2.2765498556862056
0.5,0.9032078879070655,2.270623038839581
0.5,0.916297857297023,2.2646479461241213
0.5,0.9293878266869804,2.2586260233258955
0.5,0.9424777960769379,2.2525587221674854
0.5,0.9555677654668954,2.246447499754815
0.5,0.9686577348568528,2.2402938180230834
0.5,0.9817477042468103,2.234099143181986
0.5,0.9948376736367678,2.2278649451607677
0.5,1.0079276430267252,2.22159269705309
0.5,1.0210176124166828,2.2152838745626653
0.5,1.03410758180664,2.2089399554493596
0.5,1.0471975511965976,2.2025624189766617
0.5,1.0602875205865552,2.196152745360642
0.5,1.0733774899765125,2.1897124152207326
0.5,1.08646745936647,2.183242909032934
0.5,1.0995574287564276,2.176745706585571
0.5,1.112647398146385,2.1702222864381397
0.5,1.1257373675363425,2.163674125383629
0.5,1.1388273369263,2.1571026979145316
0.5,1.1519173063162573,2.150509475693177
0.5,1.1650072757062149,2.1438959270265414
0.5,1.1780972450961724,2.1372635163460743
0.5,1.1911872144861297,2.130613703692852
0.5,1.2042771838760873,2.1239479442083606
0.5,1.2173671532660448,2.117267687631461
0.5,1.2304571226560022,2.110574377801761
0.5,1.2435470920459597,2.103869452169768
0.5,1.2566370614359172,2.0971543413142726
0.5,1.2697270308258746,2.090430468467254
0.5,1.2828170002158321,2.0836992490465818
0.5,1.2959069696057897,2.0769620901970782
0.5,1.308996938995747,2.070220390340019
