a,b,c,flow_relation,C_right,C_left,C_vertical_radial,x_plus,x_minus,asymmetry_index,road_gain_right,road_gain_left
2.0,1.0,1.5,aligned,5.688449124827159,0.7386175141208646,1.3228756555322967,5.688449124827152,-0.738617514120866,0.7701540825343735,2.1884491248271587,0.23861751412086463
2.0,1.0,-1.5,opposed,2.6884491248271516,3.738617514120868,1.4718179428472986,2.6884491248271516,-3.738617514120866,-0.16339777511091869,2.1884491248271516,0.23861751412086818
2.0,-1.0,1.5,opposed,3.738617514120868,2.6884491248271516,1.4718179428472986,3.738617514120866,-2.6884491248271516,0.16339777511091869,0.23861751412086818,2.1884491248271516
2.0,-1.0,-1.5,aligned,0.7386175141208646,5.688449124827159,1.3228756555322967,0.738617514120866,-5.688449124827152,-0.7701540825343735,0.23861751412086463,2.1884491248271587
