epsilon,h,dt,nx,ny,steps,radial_Linf,radial_L2,hausdorff,symmetric_difference,phase_band_L2,threshold_width_mean,threshold_width_max,boundary_residual,road_tangential_scheme,boundary_margin,u_min,u_max,wall_seconds
0.2,0.035777087639996645,0.0011511895625479663,337,102,1303,1.6923160841846592,0.6891248013104032,1.6923160841846592,0.35921229723028975,0.21327140230200503,1.9040335493241696,3.576794968160276,1.2187971985822e-13,centered,0.4660073266775946,0.0,0.9873278030201706,1.1440801009994175
0.15,0.0232379000772445,0.0006479481641468683,519,156,2315,1.4380093091765742,0.6027620534003857,1.4380093091765742,0.3201942387818111,0.16986307459734865,1.4373861375781993,2.7914905810330906,2.598546378074218e-13,centered,0.5622349914332827,0.0,0.997547032270988,4.910205871998187
0.12,0.016627687752661224,0.0004147083218136577,724,218,3617,1.247239102532406,0.531879723592899,1.247239102532406,0.28636014147316624,0.14139377046291685,1.1593818386776593,2.2775047055407427,3.260794412263124e-13,centered,0.6082318319838285,0.0,0.9995600338669384,14.594128109998564
0.1,0.01264911064067352,0.0002879631407179881,951,286,5209,1.101321087585137,0.47521506018689785,1.101321087585137,0.2582478773353766,0.12127903360689772,0.9718071615740655,1.9204115991000208,6.733467949882055e-13,centered,0.605020122248296,0.0,0.9999246216426896,39.52006780300144
